strategy,n_samples,auc,f1,accuracy,trainable_params,lora_layers
mmd_aware,10,0.9516,0.8461538461538461,0.86,3638786,"[4, 7, 8, 9, 10, 11]"
freeze_early,10,0.9581,0.8842105263157894,0.89,3638786,"[6, 7, 8, 9, 10, 11]"
freeze_late,10,0.8496,0.5675675675675675,0.68,3638786,"[0, 1, 2, 3, 4, 5]"
random_1,10,0.8774000000000001,0.6133333333333333,0.71,3638786,"[0, 1, 3, 4, 10, 11]"
random_2,10,0.9024000000000001,0.581081081081081,0.69,3638786,"[0, 2, 4, 5, 7, 8]"
random_3,10,0.9119999999999999,0.6956521739130435,0.755,3638786,"[1, 2, 3, 6, 8, 10]"
mmd_aware,20,0.9948999999999999,0.9424083769633508,0.945,3638786,"[4, 7, 8, 9, 10, 11]"
freeze_early,20,0.9963,0.9753694581280788,0.975,3638786,"[6, 7, 8, 9, 10, 11]"
freeze_late,20,0.9916,0.8715083798882681,0.885,3638786,"[0, 1, 2, 3, 4, 5]"
random_1,20,0.9955,0.9533678756476683,0.955,3638786,"[0, 1, 3, 4, 10, 11]"
random_2,20,0.9954,0.8839779005524862,0.895,3638786,"[0, 2, 4, 5, 7, 8]"
random_3,20,0.9971,0.9312169312169312,0.935,3638786,"[1, 2, 3, 6, 8, 10]"
